# Вариант 4. Скорость 300 об/мин, задание тока 10 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.00000,0.068,2.030,0.119,0,-540,540
0.000020,0.00063,0.034,2.028,0.109,0,-540,540
0.000040,0.00126,-0.072,2.047,0.275,0,-540,540
0.000060,0.00188,0.023,2.045,0.259,0,-540,540
0.000080,0.00251,-0.023,2.057,0.529,0,-540,540
0.000100,0.00314,0.046,1.914,0.563,0,-540,540
0.000120,0.00377,0.010,2.004,0.636,0,-540,540
0.000140,0.00440,-0.012,1.950,0.696,0,-540,540
0.000160,0.00503,0.112,2.034,0.825,0,-540,540
0.000180,0.00565,-0.045,2.089,1.018,0,-540,540
0.000200,0.00628,0.069,2.000,1.029,0,-540,540
0.000220,0.00691,0.032,2.040,1.299,0,-540,540
0.000240,0.00754,-0.033,1.944,1.307,0,-540,540
0.000260,0.00817,-0.000,2.019,1.398,0,-540,540
0.000280,0.00880,0.012,2.004,1.525,0,-540,540
0.000300,0.00942,-0.029,2.092,1.649,0,-540,540
0.000320,0.01005,-0.003,2.020,1.718,0,-540,540
0.000340,0.01068,-0.082,2.009,1.920,0,-540,540
0.000360,0.01131,-0.025,1.853,1.902,0,-540,540
0.000380,0.01194,-0.033,2.000,2.134,0,-540,540
0.000400,0.01257,-0.044,2.003,2.202,0,-540,540
0.000420,0.01319,-0.007,2.088,2.273,0,-540,540
0.000440,0.01382,0.016,1.992,2.370,0,-540,540
0.000460,0.01445,0.044,1.996,2.527,0,-540,540
0.000480,0.01508,0.001,1.937,2.673,0,-540,540
0.000500,0.01571,0.005,1.949,2.758,0,-540,540
0.000520,0.01634,-0.028,1.960,2.982,0,-540,540
0.000540,0.01696,-0.022,2.028,3.005,0,-540,540
0.000560,0.01759,-0.003,1.951,3.164,0,-540,540
0.000580,0.01822,0.006,2.181,3.294,0,-540,540
0.000600,0.01885,-0.044,2.000,3.424,0,-540,540
0.000620,0.01948,-0.014,1.943,3.472,0,-540,540
0.000640,0.02011,0.028,1.957,3.646,0,-540,540
0.000660,0.02073,0.021,1.934,3.799,0,-540,540
0.000680,0.02136,-0.040,1.973,3.929,0,-540,540
0.000700,0.02199,0.001,1.971,3.981,0,-540,540
0.000720,0.02262,0.072,2.012,4.194,0,-540,540
0.000740,0.02325,-0.041,1.919,4.290,0,-540,540
0.000760,0.02388,-0.020,2.024,4.377,0,-540,540
0.000780,0.02450,-0.052,1.948,4.515,0,-540,540
0.000800,0.02513,0.041,2.011,4.688,0,-540,540
0.000820,0.02576,0.011,1.996,4.829,0,-540,540
0.000840,0.02639,-0.064,1.948,4.971,0,-540,540
0.000860,0.02702,-0.002,1.901,5.032,0,-540,540
0.000880,0.02765,-0.058,1.952,5.214,0,-540,540
0.000900,0.02827,0.040,1.952,5.358,0,-540,540
0.000920,0.02890,-0.054,2.067,5.568,0,-540,540
0.000940,0.02953,0.078,2.039,5.714,0,-540,540
0.000960,0.03016,0.022,1.958,5.915,0,-540,540
0.000980,0.03079,-0.019,2.048,5.922,0,-540,540
0.001000,0.03142,-0.063,1.974,6.158,0,-540,540
0.001020,0.03204,0.037,2.013,6.277,0,-540,540
0.001040,0.03267,-0.019,2.043,6.483,0,-540,540
0.001060,0.03330,-0.043,1.942,6.609,0,-540,540
0.001080,0.03393,-0.082,1.937,6.818,0,-540,540
0.001100,0.03456,-0.195,1.998,6.992,0,-540,540
0.001120,0.03519,-0.078,2.019,7.145,0,-540,540
0.001140,0.03581,0.039,2.007,7.250,0,-540,540
0.001160,0.03644,0.017,1.994,7.430,0,-540,540
0.001180,0.03707,0.063,1.968,7.596,0,-540,540
0.001200,0.03770,-0.069,2.038,7.760,0,-540,540
0.001220,0.03833,-0.022,1.961,7.945,0,-540,540
0.001240,0.03896,-0.004,2.031,8.042,0,-540,540
0.001260,0.03958,-0.054,1.986,8.306,0,-540,540
0.001280,0.04021,0.040,2.059,8.508,0,-540,540
0.001300,0.04084,0.047,1.999,8.566,0,-540,540
0.001320,0.04147,-0.012,1.987,8.738,0,-540,540
0.001340,0.04210,-0.103,2.010,9.007,0,-540,540
0.001360,0.04273,-0.002,1.967,9.301,0,-540,540
0.001380,0.04335,0.091,2.071,9.479,0,-540,540
0.001400,0.04398,0.926,2.011,9.655,540,-540,540
0.001420,0.04461,1.788,1.959,9.838,540,-540,540
0.001440,0.04524,2.712,2.032,10.007,540,-540,540
0.001460,0.04587,3.610,1.905,10.261,540,-540,540
0.001480,0.04650,4.496,2.070,10.527,540,-540,540
0.001500,0.04712,5.440,2.075,10.649,540,-540,540
0.001520,0.04775,6.303,2.041,10.764,540,-540,0
0.001540,0.04838,7.220,2.054,10.694,540,-540,0
0.001560,0.04901,8.089,2.017,10.744,540,-540,0
0.001580,0.04964,8.980,1.979,10.746,540,-540,0
0.001600,0.05027,9.783,2.026,10.788,540,-540,0
0.001620,0.05089,10.679,1.957,10.709,540,-540,0
0.001640,0.05152,11.224,1.951,10.733,0,-540,0
0.001660,0.05215,11.151,1.984,10.621,0,-540,0
0.001680,0.05278,11.146,2.014,10.586,0,-540,0
0.001700,0.05341,11.102,1.882,10.686,0,-540,0
0.001720,0.05404,11.182,1.988,10.585,0,-540,0
0.001740,0.05466,11.201,2.004,10.631,0,-540,0
0.001760,0.05529,11.191,2.073,10.624,0,-540,0
0.001780,0.05592,11.057,1.910,10.579,0,-540,0
0.001800,0.05655,11.092,1.955,10.580,0,-540,0
0.001820,0.05718,11.135,2.056,10.560,0,-540,0
0.001840,0.05781,11.059,2.027,10.646,0,-540,0
0.001860,0.05843,10.970,2.038,10.628,0,-540,0
0.001880,0.05906,11.042,2.002,10.590,0,-540,0
0.001900,0.05969,10.943,1.991,10.582,0,-540,0
0.001920,0.06032,11.031,2.008,10.588,0,-540,0
0.001940,0.06095,10.947,1.975,10.588,0,-540,0
0.001960,0.06158,10.988,2.039,10.509,0,-540,0
0.001980,0.06220,10.999,1.971,10.596,0,-540,0
0.002000,0.06283,10.983,1.915,10.486,0,-540,0
