# Вариант 2. Скорость 450 об/мин, задание тока 15 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.00000,0.010,0.008,0.008,0,0,540
0.000020,0.00094,-0.076,0.005,0.078,0,0,540
0.000040,0.00188,0.085,0.055,0.249,0,0,540
0.000060,0.00283,-0.078,-0.042,0.355,0,0,540
0.000080,0.00377,0.028,-0.016,0.460,0,0,540
0.000100,0.00471,0.015,0.027,0.615,0,0,540
0.000120,0.00565,-0.047,-0.007,0.660,0,0,540
0.000140,0.00660,0.008,0.003,0.759,0,0,540
0.000160,0.00754,-0.030,-0.045,0.903,0,0,540
0.000180,0.00848,0.076,-0.094,0.927,0,0,540
0.000200,0.00942,0.103,-0.026,1.124,0,0,540
0.000220,0.01037,0.030,0.074,1.248,0,0,540
0.000240,0.01131,-0.025,-0.007,1.312,0,0,540
0.000260,0.01225,0.010,-0.065,1.398,0,0,540
0.000280,0.01319,-0.016,-0.025,1.544,0,0,540
0.000300,0.01414,0.010,-0.009,1.611,0,0,540
0.000320,0.01508,-0.043,0.035,1.706,0,0,540
0.000340,0.01602,0.046,0.013,1.775,0,0,540
0.000360,0.01696,-0.008,-0.034,1.932,0,0,540
0.000380,0.01791,0.020,-0.019,2.141,0,0,540
0.000400,0.01885,0.020,0.115,2.193,0,0,540
0.000420,0.01979,0.082,0.019,2.302,0,0,540
0.000440,0.02073,-0.033,-0.037,2.316,0,0,540
0.000460,0.02168,-0.029,-0.077,2.539,0,0,540
0.000480,0.02262,-0.008,0.067,2.590,0,0,540
0.000500,0.02356,-0.014,-0.000,2.737,0,0,540
0.000520,0.02450,0.071,-0.101,2.784,0,0,540
0.000540,0.02545,-0.022,-0.003,3.065,0,0,540
0.000560,0.02639,0.053,-0.099,3.098,0,0,540
0.000580,0.02733,-0.044,-0.030,3.239,0,0,540
0.000600,0.02827,-0.085,-0.016,3.371,0,0,540
0.000620,0.02922,-0.065,-0.030,3.515,0,0,540
0.000640,0.03016,0.018,0.025,3.584,0,0,540
0.000660,0.03110,-0.009,0.004,3.756,0,0,540
0.000680,0.03204,0.012,0.050,3.812,0,0,540
0.000700,0.03299,0.004,0.064,4.033,0,0,540
0.000720,0.03393,-0.036,-0.004,4.119,0,0,540
0.000740,0.03487,0.023,-0.092,4.220,0,0,540
0.000760,0.03581,-0.004,0.055,4.291,0,0,540
0.000780,0.03676,0.068,0.017,4.477,0,0,540
0.000800,0.03770,-0.035,-0.080,4.668,0,0,540
0.000820,0.03864,0.009,0.049,4.745,0,0,540
0.000840,0.03958,0.034,-0.049,4.895,0,0,540
0.000860,0.04053,-0.022,0.019,4.935,0,0,540
0.000880,0.04147,0.014,0.008,5.194,0,0,540
0.000900,0.04241,-0.027,0.020,5.308,0,0,540
0.000920,0.04335,-0.008,0.096,5.392,0,0,540
0.000940,0.04430,0.943,0.002,5.623,540,0,540
0.000960,0.04524,1.766,-0.042,5.809,540,0,540
0.000980,0.04618,2.602,-0.058,5.905,540,0,540
0.001000,0.04712,3.650,0.037,6.036,540,0,540
0.001020,0.04807,4.497,-0.062,6.128,540,0,540
0.001040,0.04901,5.419,-0.036,6.342,540,0,540
0.001060,0.04995,6.329,0.081,6.512,540,0,540
0.001080,0.05089,7.182,0.057,6.662,540,0,540
0.001100,0.05184,8.143,0.024,6.818,540,0,540
0.001120,0.05278,8.869,0.005,7.016,540,0,540
0.001140,0.05372,9.857,-0.004,7.086,540,0,540
0.001160,0.05466,10.746,-0.015,7.264,540,0,540
0.001180,0.05561,11.630,0.008,7.451,540,0,540
0.001200,0.05655,12.508,-0.020,7.592,540,0,540
0.001220,0.05749,13.249,-0.037,7.753,540,0,540
0.001240,0.05843,14.258,-0.031,7.981,540,0,540
0.001260,0.05938,15.120,0.032,8.131,540,0,540
0.001280,0.06032,16.021,-0.025,8.342,540,0,540
0.001300,0.06126,15.949,-0.023,8.521,0,0,540
0.001320,0.06220,16.044,0.066,8.735,0,0,540
0.001340,0.06315,15.959,0.088,8.900,0,0,540
0.001360,0.06409,15.955,-0.001,8.976,0,0,540
0.001380,0.06503,15.980,-0.005,9.223,0,0,540
0.001400,0.06597,15.908,-0.033,9.457,0,0,540
0.001420,0.06692,15.957,-0.001,9.652,0,0,540
0.001440,0.06786,15.894,-0.007,9.827,0,0,540
0.001460,0.06880,15.826,-0.023,9.969,0,0,540
0.001480,0.06974,15.931,0.011,10.302,0,0,540
0.001500,0.07069,15.789,-0.071,10.419,0,0,540
0.001520,0.07163,15.852,-0.028,10.701,0,0,540
0.001540,0.07257,15.864,-0.067,10.842,0,0,540
0.001560,0.07351,15.808,-0.068,11.087,0,0,540
0.001580,0.07446,15.821,-0.058,11.255,0,0,540
0.001600,0.07540,15.748,0.045,11.549,0,0,540
0.001620,0.07634,15.763,0.124,11.841,0,0,540
0.001640,0.07728,15.705,-0.038,11.930,0,0,540
0.001660,0.07823,15.722,0.001,12.029,0,0,540
0.001680,0.07917,15.716,0.033,12.460,0,0,540
0.001700,0.08011,15.667,0.022,12.574,0,0,540
0.001720,0.08105,15.659,0.014,12.847,0,0,540
0.001740,0.08200,15.682,-0.037,13.078,0,0,540
0.001760,0.08294,15.591,0.059,13.436,0,0,540
0.001780,0.08388,15.687,0.066,13.635,0,0,540
0.001800,0.08482,15.702,0.044,13.931,0,0,540
0.001820,0.08577,15.613,0.079,14.053,0,0,540
0.001840,0.08671,15.541,0.000,14.501,0,0,540
0.001860,0.08765,15.519,-0.000,14.775,0,0,540
0.001880,0.08859,15.509,-0.060,14.992,0,0,540
0.001900,0.08954,15.451,0.020,15.278,0,0,540
0.001920,0.09048,15.427,-0.082,15.553,0,0,540
0.001940,0.09142,15.410,0.020,15.887,0,0,540
0.001960,0.09236,15.405,-0.001,15.882,0,0,0
