# Вариант 3. Скорость 600 об/мин, задание тока 15 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.06545,0.487,-0.023,0.039,540,0,540
0.000020,0.06671,1.442,0.027,0.139,540,0,540
0.000040,0.06796,2.252,0.043,0.205,540,0,540
0.000060,0.06922,3.195,-0.052,0.397,540,0,540
0.000080,0.07048,4.007,0.046,0.415,540,0,540
0.000100,0.07173,4.931,-0.009,0.558,540,0,540
0.000120,0.07299,5.830,-0.049,0.669,540,0,540
0.000140,0.07425,6.693,0.062,0.743,540,0,540
0.000160,0.07550,7.568,0.023,0.922,540,0,540
0.000180,0.07676,8.486,0.001,0.913,540,0,540
0.000200,0.07802,9.513,0.106,1.062,540,0,540
0.000220,0.07927,10.319,-0.042,1.173,540,0,540
0.000240,0.08053,11.193,0.006,1.285,540,0,540
0.000260,0.08179,11.959,-0.013,1.290,540,0,540
0.000280,0.08304,12.958,-0.037,1.584,540,0,540
0.000300,0.08430,13.895,-0.065,1.546,540,0,540
0.000320,0.08556,14.776,-0.048,1.740,540,0,540
0.000340,0.08681,15.583,0.001,1.810,540,0,540
0.000360,0.08807,16.084,0.058,1.930,0,0,540
0.000380,0.08933,15.996,-0.026,2.058,0,0,540
0.000400,0.09058,15.997,0.001,2.266,0,0,540
0.000420,0.09184,16.033,-0.033,2.276,0,0,540
0.000440,0.09310,15.957,0.001,2.425,0,0,540
0.000460,0.09435,16.018,0.102,2.441,0,0,540
0.000480,0.09561,16.009,-0.008,2.669,0,0,540
0.000500,0.09687,16.005,0.077,2.656,0,0,540
0.000520,0.09812,15.894,-0.055,2.830,0,0,540
0.000540,0.09938,15.913,-0.004,3.031,0,0,540
0.000560,0.10064,15.875,0.041,3.050,0,0,540
0.000580,0.10189,15.865,-0.053,3.209,0,0,540
0.000600,0.10315,15.885,-0.040,3.264,0,0,540
0.000620,0.10441,15.892,0.059,3.519,0,0,540
0.000640,0.10566,15.834,0.004,3.585,0,0,540
0.000660,0.10692,15.778,0.023,3.659,0,0,540
0.000680,0.10818,15.858,0.080,3.822,0,0,540
0.000700,0.10943,15.698,0.083,4.002,0,0,540
0.000720,0.11069,15.711,-0.061,3.896,0,0,540
0.000740,0.11195,15.686,0.064,4.210,0,0,540
0.000760,0.11320,15.726,-0.068,4.292,0,0,540
0.000780,0.11446,15.729,-0.015,4.454,0,0,540
0.000800,0.11572,15.750,0.029,4.581,0,0,540
0.000820,0.11697,15.687,0.048,4.663,0,0,540
0.000840,0.11823,15.638,0.066,4.801,0,0,540
0.000860,0.11949,15.669,-0.054,5.078,0,0,540
0.000880,0.12074,15.645,0.024,5.064,0,0,540
0.000900,0.12200,15.643,0.026,5.231,0,0,540
0.000920,0.12326,15.643,0.025,5.404,0,0,540
0.000940,0.12451,15.615,-0.020,5.558,0,0,540
0.000960,0.12577,15.575,-0.012,5.693,0,0,540
0.000980,0.12703,15.542,0.050,5.928,0,0,540
0.001000,0.12828,15.502,0.095,5.967,0,0,540
0.001020,0.12954,15.507,-0.024,6.071,0,0,540
0.001040,0.13079,15.447,-0.027,6.228,0,0,540
0.001060,0.13205,15.487,-0.068,6.097,0,0,-540
0.001080,0.13331,15.488,-0.000,6.001,0,0,-540
0.001100,0.13456,15.453,-0.054,5.846,0,0,-540
0.001120,0.13582,15.356,0.050,5.642,0,0,-540
0.001140,0.13708,15.470,-0.043,5.466,0,0,-540
0.001160,0.13833,15.418,0.007,5.288,0,0,-540
0.001180,0.13959,15.397,-0.018,5.167,0,0,-540
0.001200,0.14085,15.334,0.011,5.048,0,0,-540
0.001220,0.14210,15.367,-0.022,4.917,0,0,-540
0.001240,0.14336,15.287,-0.003,4.784,0,0,-540
0.001260,0.14462,15.299,-0.153,4.503,0,0,-540
0.001280,0.14587,15.376,0.024,4.385,0,0,-540
0.001300,0.14713,15.191,-0.049,4.312,0,0,-540
0.001320,0.14839,15.259,-0.043,4.094,0,0,-540
0.001340,0.14964,15.266,-0.024,4.012,0,0,-540
0.001360,0.15090,15.195,0.009,3.902,0,0,-540
0.001380,0.15216,15.186,-0.093,3.730,0,0,-540
0.001400,0.15341,15.168,0.047,3.695,0,0,-540
0.001420,0.15467,15.140,-0.021,3.486,0,0,-540
0.001440,0.15593,15.074,0.074,3.421,0,0,-540
0.001460,0.15718,15.190,0.062,3.307,0,0,-540
0.001480,0.15844,15.143,0.067,3.130,0,0,-540
0.001500,0.15970,15.105,-0.015,3.049,0,0,-540
0.001520,0.16095,15.102,0.008,2.998,0,0,-540
0.001540,0.16221,14.998,-0.003,2.862,0,0,-540
0.001560,0.16347,14.917,-0.061,2.706,0,0,-540
0.001580,0.16472,14.993,0.069,2.548,0,0,-540
0.001600,0.16598,14.947,0.056,2.325,0,0,-540
0.001620,0.16724,14.916,0.061,2.353,0,0,-540
0.001640,0.16849,14.785,0.023,2.218,0,0,-540
0.001660,0.16975,14.857,0.064,2.079,0,0,-540
0.001680,0.17101,14.905,-0.011,1.972,0,0,-540
0.001700,0.17226,14.802,-0.034,1.940,0,0,-540
0.001720,0.17352,14.885,0.004,1.758,0,0,-540
0.001740,0.17478,14.868,-0.036,1.745,0,0,-540
0.001760,0.17603,14.763,-0.031,1.544,0,0,-540
0.001780,0.17729,14.753,0.085,1.455,0,0,-540
0.001800,0.17855,14.765,-0.095,1.283,0,0,-540
0.001820,0.17980,14.671,-0.023,1.161,0,0,-540
0.001840,0.18106,14.607,-0.026,1.146,0,0,-540
0.001860,0.18232,14.652,-0.040,1.040,0,0,-540
0.001880,0.18357,14.662,0.025,0.931,0,0,-540
0.001900,0.18483,14.610,-0.005,0.842,0,0,-540
0.001920,0.18609,14.676,0.049,0.700,0,0,-540
0.001940,0.18734,14.588,0.047,0.612,0,0,-540
0.001960,0.18860,14.627,0.061,0.644,0,0,-540
0.001980,0.18986,14.500,0.039,0.417,0,0,-540
0.002000,0.19111,14.493,0.035,0.307,0,0,-540
0.002020,0.19237,14.474,0.060,0.428,0,0,0
0.002040,0.19363,14.411,-0.015,0.305,0,0,0
0.002060,0.19488,14.396,0.070,0.245,0,0,0
0.002080,0.19614,14.430,0.023,0.260,0,0,0
0.002100,0.19740,14.392,-0.015,0.186,0,0,0
0.002120,0.19865,14.295,0.029,0.301,0,0,0
0.002140,0.19991,14.333,0.005,0.287,0,0,0
0.002160,0.20117,14.334,-0.076,0.211,0,0,0
0.002180,0.20242,14.232,-0.006,0.285,0,0,0
0.002200,0.20368,14.090,0.011,0.171,0,0,0
0.002220,0.20494,14.125,-0.003,0.156,0,0,0
0.002240,0.20619,15.027,0.085,0.209,540,0,-540
0.002260,0.20745,15.822,0.006,0.263,540,0,0
0.002280,0.20871,15.890,-0.009,0.166,0,0,0
0.002300,0.20996,15.919,-0.077,0.205,0,0,0
0.002320,0.21122,15.828,0.046,0.238,0,0,0
0.002340,0.21248,15.603,0.005,0.253,0,0,0
0.002360,0.21373,15.766,-0.059,0.212,0,0,0
0.002380,0.21499,15.665,0.106,0.180,0,0,0
0.002400,0.21625,15.636,0.122,0.226,0,0,0
0.002420,0.21750,15.655,0.086,0.190,0,0,0
0.002440,0.21876,15.468,-0.037,0.177,0,0,0
