# Вариант 5. Скорость 450 об/мин, задание тока 15 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.00000,-0.115,0.023,0.073,0,0,540
0.000020,0.00094,0.016,-0.037,0.132,0,0,540
0.000040,0.00188,-0.037,-0.058,0.329,0,0,540
0.000060,0.00283,0.058,-0.004,0.270,0,0,540
0.000080,0.00377,-0.002,0.049,0.555,0,0,540
0.000100,0.00471,-0.052,-0.031,0.490,0,0,540
0.000120,0.00565,-0.039,-0.061,0.716,0,0,540
0.000140,0.00660,-0.019,0.059,0.658,0,0,540
0.000160,0.00754,0.056,-0.038,0.842,0,0,540
0.000180,0.00848,0.051,-0.106,0.909,0,0,540
0.000200,0.00942,0.031,-0.029,1.155,0,0,540
0.000220,0.01037,0.000,0.075,1.139,0,0,540
0.000240,0.01131,-0.046,-0.083,1.214,0,0,540
0.000260,0.01225,-0.021,-0.013,1.351,0,0,540
0.000280,0.01319,-0.012,-0.016,1.518,0,0,540
0.000300,0.01414,-0.051,0.041,1.654,0,0,540
0.000320,0.01508,0.056,0.002,1.740,0,0,540
0.000340,0.01602,-0.064,-0.045,1.806,0,0,540
0.000360,0.01696,0.095,0.045,2.018,0,0,540
0.000380,0.01791,0.078,-0.045,2.031,0,0,540
0.000400,0.01885,0.039,-0.074,2.142,0,0,540
0.000420,0.01979,-0.004,-0.022,2.280,0,0,540
0.000440,0.02073,-0.025,-0.021,2.400,0,0,540
0.000460,0.02168,-0.036,0.080,2.496,0,0,540
0.000480,0.02262,-0.004,0.035,2.612,0,0,540
0.000500,0.02356,0.113,0.022,2.777,0,0,540
0.000520,0.02450,-0.095,-0.034,2.831,0,0,540
0.000540,0.02545,-0.038,-0.013,2.951,0,0,540
0.000560,0.02639,-0.031,0.106,3.125,0,0,540
0.000580,0.02733,-0.024,0.059,3.232,0,0,540
0.000600,0.02827,0.116,-0.051,3.321,0,0,540
0.000620,0.02922,0.026,-0.048,3.488,0,0,540
0.000640,0.03016,-0.005,0.028,3.604,0,0,540
0.000660,0.03110,0.023,-0.008,3.645,0,0,540
0.000680,0.03204,0.029,0.008,3.906,0,0,540
0.000700,0.03299,0.024,0.015,3.925,0,0,540
0.000720,0.03393,-0.023,0.004,4.093,0,0,540
0.000740,0.03487,0.060,0.034,4.135,0,0,540
0.000760,0.03581,-0.010,-0.041,4.326,0,0,540
0.000780,0.03676,0.018,-0.010,4.537,0,0,540
0.000800,0.03770,-0.013,-0.038,4.634,0,0,540
0.000820,0.03864,0.006,0.014,4.707,0,0,540
0.000840,0.03958,-0.033,-0.009,4.925,0,0,540
0.000860,0.04053,0.011,-0.067,5.066,0,0,540
0.000880,0.04147,0.043,-0.010,5.246,0,0,540
0.000900,0.04241,0.008,-0.096,5.348,0,0,540
0.000920,0.04335,-0.046,0.147,5.525,0,0,540
0.000940,0.04430,0.923,0.038,5.681,540,0,540
0.000960,0.04524,1.835,-0.060,5.809,540,0,540
0.000980,0.04618,2.675,0.029,5.769,540,0,540
0.001000,0.04712,3.534,-0.042,5.941,540,0,540
0.001020,0.04807,4.400,-0.149,6.173,540,0,540
0.001040,0.04901,5.264,0.042,6.361,540,0,540
0.001060,0.04995,6.157,0.069,6.545,540,0,540
0.001080,0.05089,6.959,-0.004,6.673,540,0,540
0.001100,0.05184,8.005,-0.078,6.841,540,0,540
0.001120,0.05278,8.720,-0.037,6.932,540,0,540
0.001140,0.05372,9.601,0.028,7.135,540,0,540
0.001160,0.05466,10.437,-0.033,7.331,540,0,540
0.001180,0.05561,11.217,-0.060,7.509,540,0,540
0.001200,0.05655,12.061,-0.022,7.601,540,0,540
