# Вариант 6. Скорость 300 об/мин, задание тока 10 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.00000,0.133,-0.011,0.006,0,0,540
0.000020,0.00063,0.062,0.046,0.238,0,0,540
0.000040,0.00126,-0.025,-0.051,0.211,0,0,540
0.000060,0.00188,-0.013,-0.089,0.400,0,0,540
0.000080,0.00251,-0.052,-0.062,0.389,0,0,540
0.000100,0.00314,-0.013,-0.021,0.441,0,0,540
0.000120,0.00377,0.022,0.052,0.666,0,0,540
0.000140,0.00440,0.014,-0.019,0.701,0,0,540
0.000160,0.00503,-0.024,-0.043,0.892,0,0,540
0.000180,0.00565,-0.008,0.031,0.952,0,0,540
0.000200,0.00628,-0.006,0.005,0.966,0,0,540
0.000220,0.00691,-0.070,-0.013,1.153,0,0,540
0.000240,0.00754,0.007,0.009,1.289,0,0,540
0.000260,0.00817,0.032,0.034,1.433,0,0,540
0.000280,0.00880,-0.030,0.006,1.542,0,0,540
0.000300,0.00942,-0.006,0.026,1.678,0,0,540
0.000320,0.01005,-0.043,-0.076,1.831,0,0,540
0.000340,0.01068,-0.037,-0.007,1.871,0,0,540
0.000360,0.01131,-0.051,-0.044,1.963,0,0,540
0.000380,0.01194,-0.124,0.024,1.898,0,0,540
0.000400,0.01257,-0.071,0.070,2.272,0,0,540
0.000420,0.01319,-0.110,0.046,2.292,0,0,540
0.000440,0.01382,0.032,0.008,2.358,0,0,540
0.000460,0.01445,0.009,-0.064,2.455,0,0,540
0.000480,0.01508,-0.056,-0.115,2.568,0,0,540
0.000500,0.01571,0.031,-0.038,2.780,0,0,540
0.000520,0.01634,0.007,0.002,2.879,0,0,540
0.000540,0.01696,0.055,-0.008,3.057,0,0,540
0.000560,0.01759,0.006,-0.094,3.123,0,0,540
0.000580,0.01822,0.064,0.048,3.292,0,0,540
0.000600,0.01885,-0.018,0.000,3.335,0,0,540
0.000620,0.01948,-0.012,-0.096,3.522,0,0,540
0.000640,0.02011,0.050,0.080,3.676,0,0,540
0.000660,0.02073,-0.034,0.032,3.783,0,0,540
0.000680,0.02136,-0.034,-0.074,3.884,0,0,540
0.000700,0.02199,-0.008,-0.034,4.094,0,0,540
0.000720,0.02262,0.068,0.004,4.158,0,0,540
0.000740,0.02325,-0.018,-0.035,4.312,0,0,540
0.000760,0.02388,0.101,0.010,4.367,0,0,540
0.000780,0.02450,-0.006,0.009,4.514,0,0,540
0.000800,0.02513,0.141,-0.048,4.790,0,0,540
0.000820,0.02576,-0.037,-0.000,4.838,0,0,540
0.000840,0.02639,-0.007,-0.043,5.020,0,0,540
0.000860,0.02702,-0.040,-0.056,5.132,0,0,540
0.000880,0.02765,-0.003,-0.036,5.345,0,0,540
0.000900,0.02827,0.082,-0.045,5.336,0,0,540
0.000920,0.02890,-0.006,0.004,5.469,0,0,540
0.000940,0.02953,0.095,-0.008,5.683,0,0,540
0.000960,0.03016,-0.044,-0.042,5.883,0,0,540
0.000980,0.03079,0.010,0.014,5.975,0,0,540
0.001000,0.03142,-0.080,-0.021,6.176,0,0,540
0.001020,0.03204,0.030,-0.042,6.333,0,0,540
0.001040,0.03267,0.034,0.067,6.456,0,0,540
0.001060,0.03330,-0.021,0.037,6.601,0,0,540
0.001080,0.03393,-0.005,0.033,6.621,0,0,540
0.001100,0.03456,0.007,0.018,6.835,0,0,540
0.001120,0.03519,-0.043,-0.013,7.071,0,0,540
0.001140,0.03581,0.004,0.079,7.305,0,0,540
0.001160,0.03644,-0.007,0.128,7.389,0,0,540
0.001180,0.03707,0.018,0.019,7.631,0,0,540
0.001200,0.03770,-0.041,-0.057,7.736,0,0,540
0.001220,0.03833,0.021,-0.015,7.951,0,0,540
0.001240,0.03896,0.087,0.077,8.189,0,0,540
0.001260,0.03958,-0.023,0.050,8.335,0,0,540
